11679452,t6UJ9A06YBX8,"P5 - Low",11/2/2021,"Store Front","Verizon Wireless - Cushman & Wakefield",skipped
11679453,t6UJ9A06YBX9,"P3 - Medium",11/2/2021,"Lamp Replacement","Verizon Wireless - Cushman & Wakefield",skipped
11663368,t6UJ9A06XZIG,"P1.5 - High",10/15/2021,Access,"Verizon Wireless - Cushman & Wakefield",skipped
11614893,t6UJ9A06WY3X,,8/28/2021,"Light Fixtures","Verizon Wireless - Cushman & Wakefield",skipped
11638042,t6UJ9A06XFYY,,9/20/2021,"Pot Hole Repair ","Verizon Wireless - Cushman & Wakefield",skipped
11639330,t6UJ9A06XGYQ,,9/21/2021,"Back Of House","Verizon Wireless - Cushman & Wakefield",skipped
11647715,t6UJ9A06XNFN,,9/30/2021,Showroom,"Verizon Wireless - Cushman & Wakefield",skipped
11649413,t6UJ9A06XOQT,,9/30/2021,Exterior,"Verizon Wireless - Cushman & Wakefield",skipped
11651121,t6UJ9A06XQ29,,10/1/2021,"Interior Lighting","Verizon Wireless - Cushman & Wakefield",skipped
11663196,t6UJ9A06XZDO,,10/15/2021,Miscellaneous,"Verizon Wireless - Cushman & Wakefield",skipped
11663858,t6UJ9A06XZW2,,10/15/2021,"Doors  Frames","Verizon Wireless - Cushman & Wakefield",skipped
11665555,t6UJ9A06Y177,,10/19/2021,Exterior,"Verizon Wireless - Cushman & Wakefield",skipped
11667985,t6UJ9A06Y32P,,10/21/2021,"2021 Locker install","Verizon Wireless",skipped
11669281,t6UJ9A06Y42P,,10/22/2021,"Fixture Repair","Verizon Wireless - Cushman & Wakefield",skipped
11674494,t6UJ9A06Y83I,,10/28/2021,Carpentry,"Verizon Wireless - Cushman & Wakefield",skipped
11674807,t6UJ9A06Y8C7,,10/28/2021,"Fixture Repair","Verizon Wireless - Cushman & Wakefield",skipped
11676474,t6UJ9A06Y9MI,,10/30/2021,"PM Program","Verizon Wireless - Cushman & Wakefield",skipped
11676495,t6UJ9A06Y9N3,,10/30/2021,"PM Program","Verizon Wireless - Cushman & Wakefield",skipped
11676500,t6UJ9A06Y9N8,,10/30/2021,"PM Program","Verizon Wireless - Cushman & Wakefield",skipped
11676504,t6UJ9A06Y9NC,,10/30/2021,"PM Program","Verizon Wireless - Cushman & Wakefield",skipped
11676516,t6UJ9A06Y9NO,,10/30/2021,"PM Program","Verizon Wireless - Cushman & Wakefield",skipped
11676519,t6UJ9A06Y9NR,,10/30/2021,"PM Program","Verizon Wireless - Cushman & Wakefield",skipped
11676520,t6UJ9A06Y9NS,,10/30/2021,"PM Program","Verizon Wireless - Cushman & Wakefield",skipped
11676521,t6UJ9A06Y9NT,,10/30/2021,"PM Program","Verizon Wireless - Cushman & Wakefield",skipped
11676525,t6UJ9A06Y9NX,,10/30/2021,"PM Program","Verizon Wireless - Cushman & Wakefield",skipped
11676528,t6UJ9A06Y9O0,,10/30/2021,"PM Program","Verizon Wireless - Cushman & Wakefield",skipped
11676532,t6UJ9A06Y9O4,,10/30/2021,"PM Program","Verizon Wireless - Cushman & Wakefield",skipped
11676533,t6UJ9A06Y9O5,,10/30/2021,"PM Program","Verizon Wireless - Cushman & Wakefield",skipped
